Date,Location,State,Shape,Time,Summary,Upload Date
7/4/2014,Katy,TX,Light,unsure,Strange red UFO seen over Katy Mills mall during firework show.,7/11/2014
7/4/2014,Mesquite,TX,Disk,1-2 minutes,UFO seen in Mesquite during 4th of July Fireworks.,7/5/2014
7/4/2014,Mesquite,TX,Triangle,10 minutes,Triangle shaped object with 3 glowing orange lights.,1/7/2015
7/3/2014,Round Rock,TX,Light,5 minutes,Two green lights hovering with no sound and no movement.,7/26/2014
7/3/2014,Bryan,TX,Unknown,3 minutes,Fast moving low level bright light in my backyard.,7/5/2014
7/1/2014,Brownsville,TX,Diamond,3 minutes,Dome object with natural daylight emission.,1/16/2015
6/30/2014,Hurst,TX,Fireball,4 seconds,Bright white fireball moving from North to South and then split into two pieces.,7/4/2014
6/30/2014,Frisco,TX,Triangle,10-20 seconds,Triangle shaped object with white lights entered and exited atmosphere.,7/4/2014
6/25/2014,Buda,TX,Flash,2 seconds,Saw a bright white light flash across the night sky from north to south.,6/27/2014
6/21/2014,Dallas,TX,Light,30 minutes,Stationary blue green light on the clouds above downtown Dallas.,6/24/2014
6/21/2014,Denton,TX,Sphere,45-60 minutes,Clear red and green object seen by me and my wife for 45 minutes to an hour,6/24/2014
6/20/2014,El Paso,TX,,2-3 minutes,"This was not any type of Aircraft, it had a orange steady glow, and never faded out as do most meteors.",6/24/2014
6/19/2014,Austin,TX,Cylinder,10 minutes,"Red, blue, green cylinder or egg-shaped craft directly over central Austin, Texas.",6/27/2014
6/19/2014,Austin,TX,Cylinder,10 minutes,"red,blue,green cylinder or egg-shaped craft directly over central Austin, Texas",6/27/2014
6/19/2014,San Antonio,TX,Light,3 minutes,2 orbs caught on local news live broadcast,6/24/2014
6/18/2014,Wichita Falls,TX,Diamond,~3 minutes,Red and green object that didn't move like a plane or helicopter,6/20/2014
