FID,Key,SurveyID,Country,Ecoregion,Realm,SiteCode,Site,SiteLat,SiteLong,SurveyDate,Depth,Phylum,Class,Family,Taxon,Block,Total,Diver,geom
M1_DATA.185952,185952,506003361,Costa Rica,Cocos Islands,Tropical Eastern Pacific,ETP18,Rodolitos,5.5459,-87.0291,2006-09-08T00:00:00,8,Chordata,Elasmobranchii,Dasyatidae,Taeniura meyeni,1,2,GJE,POINT (-87.02909 5.54592)
M1_DATA.187439,187439,912345449,Australia,Coral Sea,Central Indo-Pacific,CS179,Osprey south bommie,-13.9756,146.6755,2015-07-22T00:00:00,13,Chordata,Elasmobranchii,Carcharhinidae,Triaenodon obesus,1,3,GJE,POINT (146.67549 -13.97563)
M1_DATA.187677,187677,912343044,Australia,Cape Howe,Temperate Australasia,BMP-S25,Bingie Bingie Point,-36.0129,150.166,2013-03-23T00:00:00,5,Chordata,Elasmobranchii,Orectolobidae,Orectolobus halei,2,1,AJG,POINT (150.16603 -36.0129)
M1_DATA.165264,165264,912340528,Australia,Lord Howe and Norfolk Islands,Central Indo-Pacific,LHI7,Erscotts Passage South,-31.5519,159.0673,2012-02-27T00:00:00,6,Chordata,Elasmobranchii,Carcharhinidae,Carcharhinus galapagensis,1,1,TRD,POINT (159.06731 -31.55193)
M1_DATA.165309,165309,912344996,Australia,Cape Howe,Temperate Australasia,BMP7,Potato Point Spud #1,-36.0923,150.1469,2015-03-31T00:00:00,16,Chordata,Elasmobranchii,Dasyatidae,Dasyatis thetidis,1,1,AJG,POINT (150.14688 -36.09226)
M1_DATA.165448,165448,912344532,Republic of the Marshall Islands,Marshall Islands,Eastern Indo-Pacific,AL4,Liklal Island,10.292,169.8544,2014-07-16T00:00:00,5,Chordata,Elasmobranchii,Carcharhinidae,Carcharhinus melanopterus,2,1,ATC,POINT (169.85435 10.292)
M1_DATA.165468,165468,593003454,Ecuador,Eastern Galapagos Islands,Tropical Eastern Pacific,ETP139,Bajo Gardner,-1.3481,-89.6366,2008-04-29T00:00:00,15,Chordata,Elasmobranchii,Carcharhinidae,Triaenodon obesus,2,1,SEB,POINT (-89.6366 -1.34813)
M1_DATA.165629,165629,2001122,Australia,Manning-Hawkesbury,Temperate Australasia,PS25,Jimmys Beach Barnes Rocks,-32.6827,152.1584,2010-04-18T00:00:00,4.5,Chordata,Elasmobranchii,Urolophidae,Trygonoptera testacea,1,1,NAD,POINT (152.15836 -32.6827)
M1_DATA.165649,165649,2001179,Australia,Manning-Hawkesbury,Temperate Australasia,PS3,Cabbage Tree Island West,-32.6888,152.2222,2009-11-21T00:00:00,9.5,Chordata,Elasmobranchii,Heterodontidae,Heterodontus galeatus,1,1,MS,POINT (152.22218 -32.68884)
M1_DATA.165777,165777,3002413,Australia,Bassian,Temperate Australasia,PPB36,SE Outer Pt Lonsdale Reef,-38.2965,144.6174,2010-11-10T00:00:00,6,Chordata,Elasmobranchii,Rhinobatidae,Trygonorrhina fasciata,2,1,AJW,POINT (144.6174 -38.29653)
M1_DATA.165788,165788,912343956,Australia,Cape Howe,Temperate Australasia,VIC20,Pearl Point Kelp Beds,-37.7927,148.8807,2014-05-22T00:00:00,7,Chordata,Elasmobranchii,Urolophidae,Urolophus cruciatus,2,1,AJW,POINT (148.88073 -37.7927)
M1_DATA.165941,165941,2001307,Australia,Cape Howe,Temperate Australasia,BMP21,Montague Is W (S of the Pinnacle),-36.2468,150.2232,2008-03-13T00:00:00,17,Chordata,Elasmobranchii,Urolophidae,Trygonoptera testacea,1,1,AJG,POINT (150.22319 -36.24683)
M1_DATA.166035,166035,912344030,Australia,Lord Howe and Norfolk Islands,Central Indo-Pacific,LHI3,Erscotts Blind Passage,-31.5497,159.063,2014-02-27T00:00:00,8,Chordata,Elasmobranchii,Carcharhinidae,Carcharhinus galapagensis,1,1,PBD,POINT (159.06295 -31.54974)
M1_DATA.166118,166118,912340258,Australia,Manning-Hawkesbury,Temperate Australasia,PS16,Seahorse gardens,-32.7152,152.1504,2012-04-08T00:00:00,14.5,Chordata,Elasmobranchii,Orectolobidae,Orectolobus maculatus,1,1,MS,POINT (152.15036 -32.71515)
M1_DATA.190427,190427,689003040,French Polynesia,Tuamotus,Eastern Indo-Pacific,FP16,Toau Bommie,-15.9408,-145.9148,2009-06-15T00:00:00,2.5,Chordata,Elasmobranchii,Carcharhinidae,Carcharhinus melanopterus,2,1,MLD,POINT (-145.91479 -15.9408)
M1_DATA.190428,190428,506003331,Costa Rica,Cocos Islands,Tropical Eastern Pacific,ETP15,Isla Manuelita,5.5619,-87.0469,2006-09-02T00:00:00,14,Chordata,Elasmobranchii,Carcharhinidae,Triaenodon obesus,2,2,GJE,POINT (-87.04693 5.56187)
M1_DATA.190485,190485,912344456,Australia,Manning-Hawkesbury,Temperate Australasia,PS4,Governers Wharf (Fingal Island),-32.7406,152.1949,2013-09-01T00:00:00,9,Chordata,Elasmobranchii,Heterodontidae,Heterodontus portusjacksoni,1,31,TRD,POINT (152.19493 -32.74057)
M1_DATA.190498,190498,507003622,Panama,Nicoya,Tropical Eastern Pacific,ETP84,Punta Baltazar Oeste,7.6463,-81.7612,2007-03-28T00:00:00,10,Chordata,Elasmobranchii,Mobulidae,Mobula thurstoni,1,4,AC,POINT (-81.76115 7.64627)
M1_DATA.190642,190642,4000724,Australia,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,QLD47,Horseshoe Reef,-14.6871,145.4433,2010-06-29T00:00:00,3,Chordata,Elasmobranchii,Dasyatidae,Taeniura lymma,2,1,GJE,POINT (145.44327 -14.68708)
M1_DATA.190942,190942,912345683,Australia,Bassian,Temperate Australasia,PPH-S4,Sth Channel Fort,-38.3069,144.801,2015-12-03T00:00:00,4,Chordata,Elasmobranchii,Dasyatidae,Dasyatis brevicaudata,2,2,AJW,POINT (144.8010236 -38.30691797)
M1_DATA.191037,191037,912342142,French Polynesia,Tuamotus,Eastern Indo-Pacific,FP50,Fakarava Sth Outside,-16.5169,-145.4559,2012-06-20T00:00:00,10.3,Chordata,Elasmobranchii,Carcharhinidae,Carcharhinus amblyrhynchos,1,1,MLD,POINT (-145.45592 -16.5169)
